Class,Count,Proportion
1,226,0.06457142857142857
3,80,0.022857142857142857
4,174,0.04971428571428571
5,287,0.082
6,345,0.09857142857142857
7,79,0.022571428571428572
8,336,0.096
9,737,0.21057142857142858
10,105,0.03
11,412,0.11771428571428572
12,195,0.055714285714285716
13,63,0.018
14,461,0.1317142857142857
