Class,Count,Proportion
1,263,0.07514285714285714
2,54,0.015428571428571429
3,157,0.04485714285714286
4,177,0.05057142857142857
5,283,0.08085714285714286
6,372,0.10628571428571429
7,78,0.022285714285714287
8,360,0.10285714285714286
9,687,0.19628571428571429
10,97,0.027714285714285716
11,306,0.08742857142857142
12,141,0.040285714285714286
13,14,0.004
14,511,0.146
