Class,Count,Proportion
1,251,0.07171428571428572
2,5,0.0014285714285714286
3,214,0.061142857142857145
4,169,0.048285714285714286
5,280,0.08
6,378,0.108
7,78,0.022285714285714287
8,349,0.09971428571428571
9,777,0.222
10,83,0.023714285714285716
11,264,0.07542857142857143
12,130,0.037142857142857144
13,12,0.0034285714285714284
14,510,0.1457142857142857
