Class,Count,Proportion
1,310,0.08857142857142856
2,49,0.014
3,165,0.047142857142857146
4,247,0.07057142857142858
5,572,0.16342857142857142
7,238,0.068
8,287,0.082
9,578,0.16514285714285715
10,14,0.004
11,307,0.08771428571428572
12,141,0.040285714285714286
13,67,0.019142857142857142
14,525,0.15
