Class,Count,Proportion
1,241,0.06885714285714285
2,140,0.04
3,243,0.06942857142857142
4,182,0.052
5,52,0.014857142857142857
6,861,0.246
7,174,0.04971428571428571
8,361,0.10314285714285715
9,644,0.184
10,141,0.040285714285714286
11,95,0.027142857142857142
12,98,0.028
13,268,0.07657142857142857
