Class,Count,Proportion
1,222,0.06342857142857143
2,27,0.007714285714285714
3,206,0.05885714285714286
4,104,0.029714285714285714
5,177,0.05057142857142857
6,521,0.14885714285714285
7,246,0.07028571428571428
8,342,0.09771428571428571
9,950,0.2714285714285714
10,8,0.002285714285714286
11,353,0.10085714285714285
12,344,0.09828571428571428
